72일 : 존엄했던 짐승들의 도시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node,In NodeType,Choices,1장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeType,,,MainStoryNode,MainStoryNode,StoryNode,CombatNode,EventNode,EndingNode,EndingNode,EventNode,CombatNode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeName,,,Main_01,Main_02,Main_03,Combat_01,Event_01,Ending_01,Ending_02,Event_02,Combat_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeMessage,,,메인 스토리 확인.,메인 스토리에 돌입한다. 테스터는 준비하라.,돌입 성공. 성공적으로 진행이 확인되었다. 플레이어는 각 노드들을 탐색하라.,전투에 돌입한다. 당신의 상대는 노숙자 김헌일이다. 생존하라.,이벤트 노드에 진입하였다. 당신의 운을 확인한다. 각 이벤트 발생 확률은 50%이다.,생존을 축하한다. 테스트를 종료한다.,당신은 사망하였다. 당신의 나약함은 멸망한 세상에서 도태되기 충분하였고 당신은 노숙자와의 전투 끝에 생을 마감하였다.,조우 이벤트 발생. \n 당신은 굶주린 모녀와 마주하였다. 어떻게 할 것인가?,전투에 돌입한다. 당신의 상대는 굶주린 모녀이다. 해치워라.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurviveDate,,,0,0,1,1,1,72,72,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorldLocation,,,서울,서울,서울,서울,서울,서울,서울,서울,서울,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MainStoryNode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NextNode,,Main_02,Main_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,StoryNode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HowManyChoices,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ChoiceText,,,전투 노드 확인하러 가기.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NextNode,,,Combat_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RequiredFlag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TriggersEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EventStack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BaseEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ChoiceText,,,이벤트 노드 확인하러 가기.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NextNode,,,Event_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
